COUNTRY,CATEGORY,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,GDP AVG
Norway,"Advertising, market research and public opinion polling",153.355,71.4273,74.4428,84.3588,107.985,172.852,265.969,236.817,280.657,315.133,329.206,
Norway,Research and Development,157.71,132.935,154.112,150.38,200.017,319.123,491.039,437.348,518.305,582.165,607.963,
Norway,"Architectural, engineering and other technical services",837.301,797.259,747.917,827.035,874.512,1358.55,2452.64,2769.94,3033.67,2731.79,2815.41,
Norway,"Personal, cultural and recreational services",139.01,171.787,174.692,210.002,184.891,350.92,422.11,437.975,560.684,477.49,397.635,
Norway,  Audiovisual and related services,43.4375,74.4406,57.5408,70.1504,96.7554,192.147,229.93,234.57,283.584,257.621,203.671,
Norway,"    Other other personal, cultural and recreational services",95.5728,97.3468,117.152,139.852,88.1357,158.773,192.18,203.405,277.1,219.869,193.963,
Norway,GDP Per Capita,60246.80352,61135.60016,61774.87645,62129.6552,64260.124,65754.69334,66995.15291,68570.42296,68839.65763,67622.47319,67695.85128,71502.53107
Norway,GDP,270.65,276.04,280.19,283.03,293.96,302.01,308.90,317.34,319.72,315.16,316.57,
Ireland,"Advertising, market research and public opinion polling",0,570.013,244.014,199.368,0,0,0,260.962,293.577,465.785,508.953,
Ireland,Research and Development,0,388.248,382.728,365.64,441.532,410.187,447.436,708.211,729.724,910.222,950.114,
Ireland,"Architectural, engineering and other technical services",0,404.633,535.893,262.906,0,0,0,637.391,586.743,657.088,504.346,
Ireland,"Personal, cultural and recreational services",162.502,286.401,320.181,400.228,412.235446,413.462,230.8249105,243.6226969,269.5279599,261.1680603,248.9917819,
Ireland,  Audiovisual and related services,162.502,286.401,320.181,400.228,0,0,0,0,0,0,0,
Ireland,"    Other other personal, cultural and recreational services",0,0,0,0,0,0,0,0,0,0,0,
Ireland,GDP Per Capita,40493.91426,42244.53164,44318.52729,45475.25976,46531.65756,48062.09135,49329.57341,50797.12482,47935.2257,43699.00826,42842.76649,50172.96805
Ireland,GDP,154.78,163.60,174.31,182.00,190.37,201.82,212.56,224.52,216.56,200.14,198.06,
United States,"Advertising, market research and public opinion polling",0,0,0,0,0,0,0,0,0,0,0,
United States,Research and Development,0,0,0,0,0,0,0,0,0,0,0,
United States,"Architectural, engineering and other technical services",0,0,0,0,0,0,0,0,0,0,0,
United States,"Personal, cultural and recreational services",6379,6618,6534,7137,7548.5,6957.7,12822.9,14423.1,13455.1,13808.8,14563.9,
United States,  Audiovisual and related services,6379,6618,6534,7137,7548.5,6957.7,12822.9,14423.1,13455.1,13808.8,14564,
United States,"    Other other personal, cultural and recreational services",0,0,0,0,0,0,0,0,0,0,0,
United States,GDP Per Capita,39750.22933,39769.32131,40107.5157,40769.28335,41791.76958,42680.86395,43331.9289,43726.18161,43177.83683,41313.17829,42189.41396,45860.75228
United States,GDP,11216,11338,11543,11836,12247,12623,12959,13206,13162,12703,13088,
Sweden,"Advertising, market research and public opinion polling",538.813,387.704,411.927,495.585,544.899,662.221,0,0,0,0,0,
Sweden,Research and Development,1522.08,1353.52,1743.43,1991.62,2043.44,2272.49,0,0,0,0,0,
Sweden,"Architectural, engineering and other technical services",1092.79,1060.43,1129.24,874.285,1233.45,1335.64,0,0,0,0,0,
Sweden,"Personal, cultural and recreational services",113.27,111.447,112.113,208.384,177.724,221.691,273.049,294.001,453.774,269.021,401.3005847,
Sweden,  Audiovisual and related services,90.4553,85.3475,80.9111,145.354,128.569,153.269,0,0,128.294,0,0,
Sweden,"    Other other personal, cultural and recreational services",0,0,0,0,0,0,0,0,0,0,0,
